Edelweiss Banking and PSU Debt Fund - Regular Plan Fortnightly - IDCW Option	14.1109
Edelweiss Banking and PSU Debt Fund - Regular Plan Monthly - IDCW Option	11.1744
Edelweiss Banking and PSU Debt Fund - Regular Plan Weekly - IDCW Option	10.1339
Franklin India Banking & PSU Debt Fund - Direct - Growth	22.6003
Franklin India Banking & PSU Debt Fund - Growth	21.6614
Franklin India Banking and PSU Debt Fund - Direct - IDCW 	11.3337
Franklin India Banking and PSU Debt Fund - IDCW 	10.7275
HDFC Banking and PSU Debt Fund - Growth Option	22.2009
HDFC Banking and PSU Debt Fund - Growth Option - Direct Plan	23.0842
HDFC Banking and PSU Debt Fund - IDCW Option	10.1383
HDFC Banking and PSU Debt Fund - IDCW Option - Direct Plan	10.0285
HSBC Banking and PSU Debt Fund - Direct Daily IDCW	11.1853
HSBC Banking and PSU Debt Fund - Direct Growth	24.576
HSBC Banking and PSU Debt Fund - Direct Monthly IDCW	11.224
HSBC Banking and PSU Debt Fund - Direct Weekly IDCW	10.3431
HSBC Banking and PSU Debt Fund - Regular Daily IDCW	11.1099
HSBC Banking and PSU Debt Fund - Regular Growth	23.3651
HSBC Banking and PSU Debt Fund - Regular Monthly IDCW	10.54
HSBC Banking and PSU Debt Fund - Regular Weekly IDCW	10.316
ICICI Prudential Banking and PSU Debt Fund -  Daily IDCW	10.0549
ICICI Prudential Banking and PSU Debt Fund -  Weekly IDCW	10.2427
ICICI Prudential Banking and PSU Debt Fund - Bonus	15.8889
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Daily IDCW	10.2538
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Growth	32.9152
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Quarterly IDCW	12.8039
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Weekly IDCW	10.3708
ICICI Prudential Banking and PSU Debt Fund - Direct Plan Bonus	13.8665
ICICI Prudential Banking and PSU Debt Fund - Direct Plan Half Yearly IDCW Option	13.1098
ICICI Prudential Banking and PSU Debt Fund - Growth	31.6180
ICICI Prudential Banking and PSU Debt Fund - Quarterly IDCW	10.8469
ICICI Prudential Banking and PSU Debt Fund Half Yearly IDCW Option	12.9261
ICICI Prudential Banking and PSU Debt Fund Retail Daily Dividend	10.0122
ICICI Prudential Banking and PSU Debt Fund Retail Growth	21.631
ICICI Prudential Banking and PSU Debt Fund Retail Weekly Dividend	10.3305
Invesco India Banking and PSU Fund - Daily IDCW (Reinvestment)	1022.6095
Invesco India Banking and PSU Fund - Direct Plan -  Growth Option	2337.4731
Invesco India Banking and PSU Fund - Direct Plan - Daily IDCW (Reinvestment)	1039.5722
Invesco India Banking and PSU Fund - Direct Plan - Monthly IDCW (Payout / Reinvestment)	1011.5166
Invesco India Banking and PSU Fund - Growth Option	2186.466
Invesco India Banking and PSU Fund - Monthly IDCW (Payout / Reinvestment)	1038.3973
ITI Banking & PSU Debt Fund - Direct Plan - Growth Option	12.9069
ITI Banking & PSU Debt Fund - Direct Plan - IDCW Option	12.9074
ITI Banking & PSU Debt Fund - Regular Plan - Growth Option	12.6039
ITI Banking & PSU Debt Fund - Regular Plan - IDCW Option	12.6049
Kotak Banking and PSU Debt - Annual Dividend	16.1842
Kotak Banking and PSU Debt - Daily Dividend Reinvestment	10.188
Kotak Banking and PSU Debt - Direct Daily Dividend Reinvestment	10.2604
Kotak Banking and PSU Debt - Growth	63.1181
Kotak Banking and PSU Debt - Monthly Payout of Income Distribution cum capital withdrawal option	11.8584
Kotak Banking and PSU Debt Direct - Annual Dividend	17.1427
Kotak Banking and PSU Debt Direct - Growth	65.6743
Kotak Banking and PSU Debt Direct - Monthly Payout of Income Distribution cum capital withdrawal option	10.3342
LIC MF Banking & PSU Fund-Direct Plan-Daily IDCW	14.2977
LIC MF Banking & PSU Fund-Direct Plan-Growth	36.1044
LIC MF Banking & PSU Fund-Direct Plan-Monthly IDCW	13.5974
LIC MF Banking & PSU Fund-Direct Plan-Weekly IDCW	10.0501
LIC MF Banking & PSU Fund-Regular Plan-Daily IDCW	11.1219
LIC MF Banking & PSU Fund-Regular Plan-Growth	33.5407
LIC MF Banking & PSU Fund-Regular Plan-Monthly IDCW	12.553
